first_name,last_name,gender,birthday,email,phone
Jake,Sendar,male,1970-01-01,jake.sendar@example.com,415-555-1212
Jeff,Smith,male,1970-01-01,jeff.smith@example.com,415-555-1212
Gvir,Aviv,male,1970-01-01,gvir.aviv@example.com,415-555-1212
Guillaume,Galuz,male,1970-01-01,guillaume.galuz@example.com,415-555-1212
Gene,Bang,male,1970-01-01,gene.bang@example.com,415-555-1212
Julie,Mao,female,1970-01-01,julie.mao@example.com,415-555-1212
Sarah,Sorelle,female,1970-01-01,sarah.sorelle@example.com,415-555-1212
Tom,Uebel,male,1970-01-01,tom.uebel@example.com,415-555-1212
Scott,Chiang,male,1970-01-01,scott.chiang@example.com,415-555-1212
Ricky,Choi,male,1970-01-01,ricky.choi@example.com,415-555-1212
Reed,Whitcraft,male,1970-01-01,reed.whitcraft@example.com,415-555-1212
